Matreial hardness (HV),Data point count,Calibrated probe dimension,Re-calibration status
25.9,990,1.9887,2
25.9,2742,1.9887,2
25.9,2997,1.9882,1
25.9,2184,1.9882,2
25.9,2570,1.9882,2
25.9,4648,1.9882,2
25.9,4826,1.9882,2
25.9,5004,1.988,1
25.9,382,1.988,2
25.9,764,1.988,2
25.9,1146,1.988,2
25.9,4202,1.988,2
25.9,4584,1.988,2
25.9,4966,1.9867,1
25.9,2727,1.9867,2
25.9,3113,1.9867,2
25.9,3499,1.9864,1
25.9,2702,1.9864,2
25.9,3088,1.9864,2
25.9,3474,1.9864,1
25.9,1158,1.9864,2
25.9,1544,1.9864,2
25.9,1930,1.9864,2
25.9,2316,1.9864,2
25.9,2702,1.9864,2
25.9,3088,1.9864,2
25.9,3474,1.9864,2
25.9,3860,1.986,1
25.9,3860,1.986,2
25.9,4246,1.986,2
25.9,4632,1.9859,1
25.9,1544,1.9859,2
25.9,1930,1.9859,2
25.9,2316,1.9842,1
25.9,3088,1.9842,2
25.9,3474,1.9842,2
25.9,3860,1.9841,1
25.9,1930,1.9841,2
25.9,2316,1.9841,2
25.9,2702,1.9841,2
25.9,3088,1.9841,2
25.9,3474,1.9838,1
25.9,3860,1.9838,2
25.9,4246,1.9838,2
25.9,4632,1.9808,1
25.9,1544,1.9808,2
25.9,1930,1.9846,1
25.9,3088,1.9846,2
25.9,3474,1.9846,2
25.9,3860,1.9841,1
25.9,2702,1.9841,2
25.9,3088,1.9837,1
25.9,1538,1.9837,2
25.9,1538,1.9837,1
25.9,1900,1.9846,2
25.9,2280,1.9846,2
25.9,2306,1.9846,1
25.9,1960,1.9847,2
25.9,2352,1.9847,2
25.9,2744,1.9847,2
25.9,3136,1.9847,1
25.9,1263,1.9847,2
25.9,1303,1.9847,1
25.9,386,1.9835,2
25.9,772,1.9835,2
25.9,1158,1.9835,2
25.9,1544,1.9835,2
25.9,1930,1.9835,1
25.9,24,1.9837,2
25.9,36,1.9837,2
25.9,3480,1.9837,2
25.9,3862,1.9828,1
25.9,382,1.9828,2
25.9,764,1.9828,2
25.9,1146,1.9828,2
25.9,3438,1.9828,2
25.9,3820,1.9828,2
25.9,3846,1.9828,2
25.9,3872,1.9828,1
25.9,178,1.9857,2
25.9,942,1.9857,2
25.9,2852,1.9857,2
25.9,3234,1.9857,2
25.9,3616,1.9855,1
25.9,382,1.9855,2
25.9,436,1.9855,2
25.9,1620,1.9855,2
25.9,1786,1.9855,2
25.9,2348,1.9857,2
25.9,2910,1.9857,1
25.9,3870,1.982917788,1
25.9,4838,1.984448477,1
25.9,2077,1.983767723,1
25.9,3880,1.9828654,1
25.9,3549,1.985920087,1
25.9,1875,1.983528012,1
25.9,3860,1.9841,1
25.9,3474,1.985228702,1
25.9,3871,1.982817244,1
25.9,2923,1.985642202,1
25.9,1656,1.984643671,1
25.9,1837,1.983892708,1
25.9,1550,1.983707983,1
25.9,1447,1.984422927,1
25.9,3802,1.983450769,1
25.9,3863,1.984986443,1
25.9,3267,1.985363006,1
25.9,3112,1.985283818,1
25.9,3478,1.9864,1
25.9,4777,1.983615636,1
25.9,3013,1.987379938,1
25.9,1776,1.983793566,1
25.9,3555,1.984777235,1
25.9,3809,1.985896029,1
25.9,2096,1.98380261,1
25.9,2999,1.98805909,1
25.9,3870,1.98300503,1
25.9,1648,1.984644975,1
25.9,3474,1.985372609,1
25.9,4976,1.987845984,1
25.9,2313,1.984309091,1
25.9,2056,1.984469384,1
25.9,3488,1.9864,1
25.9,3542,1.984614582,1
25.9,2267,1.984603883,1
25.9,3188,1.98456008,1
25.9,1930,1.984322052,1
25.9,1718,1.984114277,1
25.9,3860,1.985214827,1
25.9,2292,1.984561781,1
25.9,1549,1.984660703,1
25.9,2496,1.985593597,1
25.9,4638,1.985544533,1
25.9,3860,1.984414007,1
