Matreial hardness (HV),Data point count,Calibrated probe dimension,Re-calibration status
25.9,228,1.9887,2
25.9,482,1.9887,2
25.9,736,1.9887,2
25.9,990,1.9887,2
25.9,1244,1.9887,2
25.9,1498,1.9887,2
25.9,1752,1.9887,2
25.9,2006,1.9887,2
25.9,2234,1.9887,2
25.9,2488,1.9887,2
25.9,2742,1.9887,2
25.9,2997,1.9882,1
25.9,2184,1.9882,2
25.9,2570,1.9882,2
25.9,2956,1.9882,2
25.9,3342,1.9882,2
25.9,3728,1.9882,2
25.9,4114,1.9882,2
25.9,4292,1.9882,2
25.9,4470,1.9882,2
25.9,4648,1.9882,2
25.9,4826,1.9882,2
25.9,5004,1.988,1
25.9,382,1.988,2
25.9,764,1.988,2
25.9,1146,1.988,2
25.9,1528,1.988,2
25.9,1910,1.988,2
25.9,2292,1.988,2
25.9,2674,1.988,2
25.9,3056,1.988,2
25.9,3438,1.988,2
25.9,3820,1.988,2
25.9,4202,1.988,2
25.9,4584,1.988,2
25.9,4966,1.9867,1
25.9,25,1.9867,2
25.9,411,1.9867,2
25.9,797,1.9867,2
25.9,1183,1.9867,2
25.9,1569,1.9867,2
25.9,1955,1.9867,2
25.9,2341,1.9867,2
25.9,2727,1.9867,2
25.9,3113,1.9867,2
25.9,3499,1.9864,1
25.9,386,1.9864,2
25.9,772,1.9864,2
25.9,1158,1.9864,2
25.9,1544,1.9864,2
25.9,1930,1.9864,2
25.9,2316,1.9864,2
25.9,2702,1.9864,2
25.9,3088,1.9864,2
25.9,3474,1.9864,1
25.9,386,1.9864,2
25.9,772,1.9864,2
25.9,1158,1.9864,2
25.9,1544,1.9864,2
25.9,1930,1.9864,2
25.9,2316,1.9864,2
25.9,2702,1.9864,2
25.9,3088,1.9864,2
25.9,3474,1.9864,2
25.9,3860,1.986,1
25.9,386,1.986,2
25.9,772,1.986,2
25.9,1158,1.986,2
25.9,1544,1.986,2
25.9,1930,1.986,2
25.9,2316,1.986,2
25.9,2702,1.986,2
25.9,3088,1.986,2
25.9,3474,1.986,2
25.9,3860,1.986,2
25.9,4246,1.986,2
25.9,4632,1.9859,1
25.9,386,1.9859,2
25.9,772,1.9859,2
25.9,1158,1.9859,2
25.9,1544,1.9859,2
25.9,1930,1.9859,2
25.9,2316,1.9842,1
25.9,386,1.9842,2
25.9,772,1.9842,2
25.9,1158,1.9842,2
25.9,1544,1.9842,2
25.9,1930,1.9842,2
25.9,2316,1.9842,2
25.9,2702,1.9842,2
25.9,3088,1.9842,2
25.9,3474,1.9842,2
25.9,3860,1.9841,1
25.9,386,1.9841,2
25.9,772,1.9841,2
25.9,1158,1.9841,2
25.9,1544,1.9841,2
25.9,1930,1.9841,2
25.9,2316,1.9841,2
25.9,2702,1.9841,2
25.9,3088,1.9841,2
25.9,3474,1.9838,1
25.9,386,1.9838,2
25.9,772,1.9838,2
25.9,1158,1.9838,2
25.9,1544,1.9838,2
25.9,1930,1.9838,2
25.9,2316,1.9838,2
25.9,2702,1.9838,2
25.9,3088,1.9838,2
25.9,3474,1.9838,2
25.9,3860,1.9838,2
25.9,4246,1.9838,2
25.9,4632,1.9808,1
25.9,386,1.9808,2
25.9,772,1.9808,2
25.9,1158,1.9808,2
25.9,1544,1.9808,2
25.9,1930,1.9846,1
25.9,386,1.9846,2
25.9,772,1.9846,2
25.9,1158,1.9846,2
25.9,1544,1.9846,2
25.9,1930,1.9846,2
25.9,2316,1.9846,2
25.9,2702,1.9846,2
25.9,3088,1.9846,2
25.9,3474,1.9846,2
25.9,3860,1.9841,1
25.9,386,1.9841,2
25.9,772,1.9841,2
25.9,1158,1.9841,2
25.9,1544,1.9841,2
25.9,1930,1.9841,2
25.9,2316,1.9841,2
25.9,2702,1.9841,2
25.9,3088,1.9837,1
25.9,386,1.9837,2
25.9,772,1.9837,2
25.9,1158,1.9837,2
25.9,1538,1.9837,2
25.9,1538,1.9837,1
25.9,380,1.9846,2
25.9,760,1.9846,2
25.9,1140,1.9846,2
25.9,1520,1.9846,2
25.9,1900,1.9846,2
25.9,2280,1.9846,2
25.9,2306,1.9846,1
25.9,392,1.9847,2
25.9,784,1.9847,2
25.9,1176,1.9847,2
25.9,1568,1.9847,2
25.9,1960,1.9847,2
25.9,2352,1.9847,2
25.9,2744,1.9847,2
25.9,3136,1.9847,1
25.9,392,1.9847,2
25.9,784,1.9847,2
25.9,1176,1.9847,2
25.9,1225,1.9847,2
25.9,1263,1.9847,2
25.9,1303,1.9847,1
25.9,386,1.9835,2
25.9,772,1.9835,2
25.9,1158,1.9835,2
25.9,1544,1.9835,2
25.9,1930,1.9835,1
25.9,24,1.9837,2
25.9,36,1.9837,2
25.9,396,1.9837,2
25.9,399,1.9837,2
25.9,424,1.9837,2
25.9,806,1.9837,2
25.9,1188,1.9837,2
25.9,1570,1.9837,2
25.9,1952,1.9837,2
25.9,2334,1.9837,2
25.9,2716,1.9837,2
25.9,3098,1.9837,2
25.9,3480,1.9837,2
25.9,3862,1.9828,1
25.9,382,1.9828,2
25.9,764,1.9828,2
25.9,1146,1.9828,2
25.9,1528,1.9828,2
25.9,1910,1.9828,2
25.9,2292,1.9828,2
25.9,2674,1.9828,2
25.9,3056,1.9828,2
25.9,3438,1.9828,2
25.9,3820,1.9828,2
25.9,3846,1.9828,2
25.9,3872,1.9828,1
25.9,178,1.9857,2
25.9,560,1.9857,2
25.9,942,1.9857,2
25.9,1324,1.9857,2
25.9,1706,1.9857,2
25.9,2088,1.9857,2
25.9,2470,1.9857,2
25.9,2852,1.9857,2
25.9,3234,1.9857,2
25.9,3616,1.9855,1
25.9,382,1.9855,2
25.9,436,1.9855,2
25.9,530,1.9855,2
25.9,732,1.9855,2
25.9,826,1.9855,2
25.9,920,1.9855,2
25.9,1014,1.9855,2
25.9,1180,1.9855,2
25.9,1346,1.9855,2
25.9,1620,1.9855,2
25.9,1786,1.9855,2
25.9,2348,1.9857,2
25.9,2910,1.9857,2
25.9,3871,1.9828330448647673,1
25.9,4668,1.9814365594192604,1
25.9,1942,1.9835220004299807,1
25.9,4263,1.9842179993960711,1
25.9,3571,1.9857829203829687,1
25.9,1737,1.9835982858617671,1
25.9,3860,1.9841,1
25.9,3474,1.985751840204213,1
25.9,3867,1.9833334977999462,1
25.9,3391,1.9840200039753113,1
25.9,1446,1.9846771201834508,1
25.9,1597,1.9837384899549144,1
25.9,1763,1.9838448757264568,1
25.9,1404,1.9845065344552952,1
25.9,3633,1.985310183661325,1
25.9,3862,1.985385985214606,1
25.9,3259,1.9853232136139323,1
25.9,3412,1.986631370937662,1
25.9,3494,1.9864,1
25.9,4701,1.9821433044239793,1
25.9,3121,1.985076043505285,1
25.9,1641,1.9840527893097013,1
25.9,3501,1.984127351736221,1
25.9,3641,1.9855519543500384,1
25.9,2193,1.9839773975675197,1
25.9,3012,1.987814818264153,1
25.9,3862,1.9838036842886955,1
25.9,1662,1.9846427107788625,1
25.9,3474,1.9842731616086016,1
25.9,4952,1.9877075342248383,1
25.9,2306,1.9845972191477874,1
25.9,2127,1.984395701078969,1
25.9,3484,1.9864,1
25.9,3584,1.9851224167221997,1
25.9,1423,1.9846880134632665,1
25.9,3359,1.9841038536542632,1
25.9,1930,1.9845372006743036,1
25.9,1803,1.9843091173611813,1
25.9,3860,1.9850857021813124,1
25.9,2194,1.9842733208547847,1
25.9,1702,1.984636362960238,1
25.9,1559,1.9837253961255512,1
25.9,3903,1.9829464555497256,1
25.9,3860,1.984578386362068,1
25.9,3860,1.9850447721611955,1
25.9,3481,1.9845822836055236,1
25.9,3860,1.9846411969393172,1
25.9,4632,1.980988123431508,1
25.9,3529,1.9844637406322343,1
25.9,4244,1.9818053580464576,1
25.9,3860,1.984033077623375,1
25.9,3129,1.9876984363643742,1
25.9,3862,1.9828,1
25.9,4632,1.9820217656424015,1
25.9,4950,1.9876957207686083,1
25.9,3474,1.9851274228232783,1
25.9,1924,1.9845870854086995,1
25.9,2480,1.985168221086046,1
25.9,3577,1.9857950780073348,1
25.9,3360,1.9848488736925536,1
25.9,1541,1.9846762362456007,1
25.9,1473,1.984672821634861,1
25.9,4563,1.9852656457823947,1
25.9,4288,1.9847120096809132,1
25.9,1944,1.9843832351446196,1
25.9,4831,1.9846575777253381,1
25.9,3009,1.9878839858048096,1
25.9,3418,1.9861200142425017,1
25.9,2050,1.983852858071469,1
25.9,1813,1.9846186518510398,1
25.9,1528,1.9837407751415548,1
25.9,3867,1.9833318391738552,1
25.9,4751,1.9831215365947354,1
25.9,3474,1.9838431283552125,1
25.9,4237,1.9843125115192721,1
25.9,2220,1.9843508546472821,1
25.9,3105,1.9840548272095906,1
25.9,2314,1.984269746571602,1
25.9,3207,1.9837309062261899,1
25.9,3867,1.9840375531081615,1
25.9,3443,1.9840783880495583,1
25.9,3016,1.987718676695489,1
25.9,4991,1.9875566137436347,1
25.9,4545,1.981026947042481,1
25.9,3507,1.9863322242564507,1
25.9,3415,1.9843397068451236,1
25.9,4435,1.9813158832554303,1
25.9,2184,1.983961988832224,1
25.9,3861,1.9830376111397383,1
25.9,3563,1.9859003192695606,1
25.9,1839,1.984435174710822,1
25.9,3862,1.9837855920218295,1
25.9,4561,1.9856113814198018,1
25.9,2227,1.9845074941821579,1
25.9,3860,1.9858107943086103,1
25.9,3706,1.9845093739346378,1
25.9,4595,1.98537778381491,1
25.9,1711,1.9839190514895353,1
25.9,3577,1.9850341246540795,1
25.9,3975,1.983201269986185,1
25.9,1885,1.983522582715147,1
25.9,2012,1.9837421368995567,1
25.9,1705,1.9846357968353845,1
25.9,3860,1.9842598659334905,1
25.9,2440,1.9841191856429528,1
25.9,3462,1.986227542120496,1
25.9,1840,1.9840542138463064,1
25.9,3618,1.9855045985258084,1
25.9,3121,1.985055150400031,1
25.9,4878,1.985577212737578,1
25.9,3472,1.9863913953074614,1
25.9,3860,1.9856944647023067,1
25.9,1853,1.9846451266210632,1
25.9,1496,1.9846691895197692,1
25.9,3775,1.9858259806297514,1
25.9,3860,1.9841,1
25.9,3868,1.9837210264916878,1
25.9,4704,1.9857747285587624,1
25.9,3780,1.984555559577423,1
25.9,3677,1.9851450879671653,1
25.9,1954,1.9846350367100951,1
25.9,1338,1.984549223410494,1
25.9,4259,1.9845804129600382,1
25.9,1659,1.9840180296759975,1
25.9,3005,1.9877784635447735,1
25.9,3563,1.984874883134799,1
25.9,4905,1.9860905429526916,1
25.9,1455,1.984407212427945,1
25.9,3861,1.9828350862788218,1
25.9,4980,1.9872110270420666,1
25.9,3093,1.983807953444823,1
25.9,4769,1.9834558018928197,1
25.9,4019,1.983436084959021,1
25.9,4244,1.9843418250113738,1
25.9,4846,1.9871114981577154,1
25.9,3244,1.987313468151126,1
25.9,3593,1.9856757186890182,1
25.9,3863,1.9837391877498398,1
25.9,3860,1.9841,1
25.9,3860,1.9859221889074192,1
25.9,4763,1.9866445081785948,1
25.9,1607,1.9838593996114664,1
25.9,1906,1.9835119082831294,1
25.9,4647,1.985936857138398,1
25.9,3936,1.9830639203903164,1
25.9,4769,1.9866773332705365,1
25.9,3476,1.9838262762480992,1
25.9,3605,1.985564513293671,1
